glac,month,prev_mean_elev_m,onset_mean_elev_m
5500,5,1983.6842105263158,1965.2666666666667
5509,5,1984.7368421052631,1956.1666666666667
5514,5,1990.7368421052631,1959.9333333333334
5525,5,1806.6315789473683,1771.9666666666667
5529,5,2059.9473684210525,2037.9333333333334
5533,5,2024.3684210526317,1994.1666666666667
5535,5,2288.842105263158,2270.5
5536,5,1807.5263157894738,1783.9333333333334
5550,5,1724.4736842105262,1683.3
5557,5,1723.9473684210527,1680.6333333333334
5558,5,2230.842105263158,2433.1
5559,5,1670.578947368421,1588.8333333333333
5565,5,1896.842105263158,1855.7
5572,5,1919.2105263157894,1886.5
5573,5,2015.3684210526317,1996.8333333333333
5574,5,1932.6842105263158,1898.1333333333334
5581,5,1933.157894736842,1911.8333333333333
5582,5,1844.2105263157894,1810.0333333333333
5583,5,1900.578947368421,1872.1666666666667
5584,5,2005.9473684210527,1981.0333333333333
5589,5,1640.2631578947369,1502.3
5594,5,1885.7368421052631,1855.8333333333333
5632,5,2206.7894736842104,2187.0666666666666
5663,5,1847.578947368421,1785.2333333333333
5675,5,1809.2631578947369,1756.8333333333333
5685,5,1799.5263157894738,1686.7
5696,5,2098.7368421052633,1938.2
5743,5,2043.3684210526317,1917.7333333333333
5763,5,1987.421052631579,1883.3
5777,5,1802.1052631578948,1761.1333333333334
5780,5,1604.421052631579,1517.3
5785,5,1830.3157894736842,1792.8
5793,5,1736.842105263158,1704.0666666666666
5804,5,1816.2631578947369,1759.8333333333333
5807,5,2018.157894736842,1990.5666666666666
5813,5,1663.7368421052631,1588.8666666666666
5823,5,1986.7894736842106,1968.3666666666666
5833,5,1899.6842105263158,1883.0666666666666
5836,5,1985.3684210526317,1970.8333333333333
5845,5,1950.421052631579,1933.2333333333333
5847,5,2061.5789473684213,2050.3333333333335
5848,5,2132.157894736842,2123.3333333333335
5849,5,2166.7368421052633,2158.633333333333
5850,5,1935.157894736842,1920.8333333333333
5851,5,2149.6315789473683,2143.2
5862,5,1967.5263157894738,1909.1
5874,5,2004.9473684210527,1979.3
5875,5,1713.157894736842,1628.1333333333334
