glac,month,prev_mean_area_m2,onset_mean_area_m2
5500,5,136842.1052631579,89000.0
5509,5,341578.94736842107,220666.66666666666
5514,5,366315.7894736842,242333.33333333334
5525,5,1097894.7368421052,717666.6666666666
5529,5,213684.2105263158,145333.33333333334
5533,5,298421.05263157893,198666.66666666666
5535,5,459473.6842105263,307333.3333333333
5536,5,1137894.7368421052,757000.0
5550,5,407894.7368421053,290333.3333333333
5557,5,644736.8421052631,412333.3333333333
5558,5,780526.3157894737,2182000.0
5559,5,5012631.578947368,3275666.6666666665
5565,5,275263.15789473685,175666.66666666666
5572,5,434210.5263157895,283666.6666666667
5573,5,111578.94736842105,72000.0
5574,5,598947.3684210526,399666.6666666667
5581,5,141052.63157894736,92000.0
5582,5,247894.73684210525,157000.0
5583,5,289473.6842105263,183666.66666666666
5584,5,1240000.0,799333.3333333334
5589,5,53352631.578947365,39404666.666666664
5594,5,321052.63157894736,204333.33333333334
5632,5,217368.42105263157,151333.33333333334
5663,5,1233157.894736842,806000.0
5675,5,787894.7368421053,517333.3333333333
5685,5,1494210.5263157894,1001666.6666666666
5696,5,1922631.5789473683,1363666.6666666667
5743,5,1000526.3157894737,735000.0
5763,5,923157.8947368421,640666.6666666666
5777,5,188421.05263157896,119666.66666666667
5780,5,9047368.421052631,5875333.333333333
5785,5,600526.3157894737,381000.0
5793,5,334210.5263157895,221333.33333333334
5804,5,906842.1052631579,589000.0
5807,5,1397368.4210526317,901000.0
5813,5,4366315.7894736845,2820333.3333333335
5823,5,1227368.4210526317,834666.6666666666
5833,5,176315.7894736842,115000.0
5836,5,127368.42105263157,84666.66666666667
5845,5,180000.0,119000.0
5847,5,249473.68421052632,161000.0
5848,5,283684.2105263158,187333.33333333334
5849,5,107894.73684210527,71000.0
5850,5,262105.26315789475,182333.33333333334
5851,5,224736.84210526315,163666.66666666666
5862,5,422105.2631578947,271000.0
5874,5,293157.8947368421,185666.66666666666
5875,5,3225263.1578947366,2150000.0
5878,5,9249473.684210526,6109000.0
5880,5,1593157.894736842,1038333.3333333334
5904,5,426315.7894736842,313666.6666666667
5944,5,362105.2631578947,468666.6666666667
5950,5,1328421.0526315789,855666.6666666666
5955,5,353157.8947368421,234666.66666666666
5962,5,585789.4736842106,387666.6666666667
5964,5,521052.63157894736,330666.6666666667
5965,5,1047894.7368421053,682000.0
5970,5,997894.7368421053,642666.6666666666
